TRACK_NAME,SINGER_NAME
Don't Wanna Fall In Love,KYLE
prom dress,mxmtoon
fast,Sueco
High Fashion (feat. Mustard),Roddy Ricch
Knock at the Door,Playsongs People
Be My Baby,The Ronettes
Something For Your M.I.N.D.,Superorganism
Mary Jane (All Night Long),Mary J. Blige
Electric Feel,MGMT
Savage Remix (feat. BeyoncÃ©),Megan Thee Stallion
Dancing in My Room,347aidan
20 Min,Lil Uzi Vert
Throw That Back Like a Cadillac,El Memer
Gangsta,Kehlani
Monster,Lady Gaga
My Ordinary Life,The Living Tombstone
Walked In,Ultradiox
Lemonade,Internet Money
F2020,Avenue Beat
Desperado,Rihanna
Tap In,Saweetie
Good Form (feat. Lil Wayne) - Remix,Nicki Minaj
Island In The Sun,Weezer
Deep End Freestyle,Sleepy Hallow
Ramalama (Bang Bang),RÃ³isÃ­n Murphy
Outside (feat. Ellie Goulding),Calvin Harris
Only The Young - Featured in Miss Americana,Taylor Swift
Wet (She Got Thatâ€¦),YFN Lucci
Walk Man,Tiny Meat Gang
Marlboro Nights,Lonely God
Aesthetic,Xilo
Paris,Else
Do It,Chloe x Halle
Hello?,Clairo
Yellow Hearts (feat. Audrey Mika),Ant Saunders
Love Story (Taylorâ€™s Version),Taylor Swift
Another Day Of Sun,La La Land Cast
iSpy (feat. Lil Yachty),KYLE
Vibin',Kesh Kesh
Hungry Hippo,Tierra Whack
Becky,Championxiii
Kraazy,Likybo
Kream (feat. Tyga),Iggy Azalea
Let Go,Ark Patrol
Lost,Frank Ocean
Still Don't Know My Name,Labrinth
Disco Inferno,50 Cent
Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy
Marry Me,Rasheeda
TKN (feat. Travis Scott),ROSALÃA
Do It Again,Pia Mia
223's (feat. 9lokknine),YNW Melly
VALENTINO,24kGoldn
May I,Flo Milli
THICK (feat. Megan Thee Stallion) - Remix,DJ Chose
Rake It Up (feat. Nicki Minaj),Yo Gotti
Crisis,Jasiah
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah
Rags2Riches 2 (feat. Lil Baby),Rod Wave
Ponteme Despalda,Nfasis
When She Loved Me,Lyn Lapid
Say It Right,Nelly Furtado
To the Right,Devour
Let It Happen,Tame Impala
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money
Let's Do It Again,J Boog
SLOW DANCING IN THE DARK,Joji
hate u love u,Olivia O'Brien
Laxed â€“ Siren Beat,Jawsh 685
Get It Together,Drake
Pocketful of Sunshine,Natasha Bedingfield
Always Forever,Cults
Party Party Party (feat. Chris Brown & Dej Loaf),DJ Carisma
Interior Crocodile Alligator,Chip Tha Ripper
One Wish,Ray J
Baby I'm Yours,Breakbot
Cha Cha,Freddie Dredd
Go Go Go Who's Next?,Hip Hop Harry
No Role Modelz,J. Cole
Addison Rae,The Kid LAROI
WHATS POPPIN,Jack Harlow
Cheryl,Yung Gravy
Ultralight Beam,Kanye West
Mr. Clean,Yung Gravy
feel something,Bea Miller
Rodeo,Lil Nas X
Then Leave (feat. Queendom Come),BeatKing
I Wanna Love You,Akon
Everybody Talks,Neon Trees
Can't Leave 'Em Alone (feat. 50 Cent),Ciara
Moment 4 Life,Nicki Minaj
We R Who We R,Kesha
Give Your Heart a Break,Demi Lovato
Lucky,Britney Spears
Buttons,The Pussycat Dolls
Get Busy,Sean Paul
ROCKSTAR (feat. Roddy Ricch),DaBaby
Who Says,Selena Gomez & The Scene
Crystal Dolphin,Engelwood
